Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1ASIAN,0ASIAN
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",PFI,2,348,262,11,37
BLCA,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,49,11,6,5
LIHC,"('Protein', 'mRNA', 'MicroRNA')",DFI,1,41,28,15,19
LIHC,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,20,41,6,18
STAD,"('Protein', 'mRNA', 'MicroRNA')",DFI,1,95,8,29,13
STAD,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,46,20,7,13
STES,"('Protein', 'mRNA', 'MicroRNA')",DFI,1,115,8,45,30
STES,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,57,21,7,31
PanGI,"('Protein', 'mRNA', 'MicroRNA')",DFI,1,219,14,55,31
PanGI,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,130,31,8,32
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,226,88,20,5
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,3,143,112,12,6
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,4,102,118,10,7
PanGyn,"('Protein', 'mRNA', 'MicroRNA')",DFI,5,67,124,10,7
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DFI,1,358,24,46,24
PanSCCs,"('Protein', 'mRNA', 'MicroRNA')",DFI,2,221,57,9,27
BLCA,"('Protein', 'mRNA', 'Methylation')",OS,2,90,99,7,6
ESCA,"('Protein', 'mRNA', 'Methylation')",OS,1,43,15,34,6
LIHC,"('Protein', 'mRNA', 'Methylation')",OS,1,78,12,22,26
LIHC,"('Protein', 'mRNA', 'Methylation')",OS,2,44,28,7,28
STAD,"('Protein', 'mRNA', 'Methylation')",OS,1,124,38,41,16
STAD,"('Protein', 'mRNA', 'Methylation')",OS,2,53,66,11,19
STES,"('Protein', 'mRNA', 'Methylation')",OS,1,167,53,75,22
STES,"('Protein', 'mRNA', 'Methylation')",OS,2,74,88,13,26
PanGI,"('Protein', 'mRNA', 'Methylation')",OS,1,355,74,86,23
PanGI,"('Protein', 'mRNA', 'Methylation')",OS,2,191,116,14,27
PanSCCs,"('Protein', 'mRNA', 'Methylation')",OS,1,611,140,76,11
