Cancer_type,Feature_type,Target,Years,1WHITE,0WHITE,1BLACK,0BLACK
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,105,14,32,8
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,67,21,16,11
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,44,25,10,11
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,32,27,6,11
KIRP,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,23,28,5,11
LGG,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,133,92,8,8
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,184,42,30,6
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,92,80,15,14
LUAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,57,96,9,17
LUSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,153,31,9,5
LUSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,91,53,5,7
LUSC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,57,62,5,7
OV,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,117,51,11,8
SARC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,110,64,9,5
SARC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,76,81,6,6
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,210,26,68,7
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,134,47,39,12
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,87,56,21,18
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,63,57,15,20
UCEC,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,39,58,12,20
GBMLGG,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,133,92,8,8
COADREAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,173,27,39,8
COADREAD,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,97,46,14,12
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,417,86,67,13
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,323,121,38,18
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,255,137,27,18
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,4,200,148,17,20
KIPAN,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,5,141,155,11,21
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,318,73,44,10
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,160,122,17,16
PanGI,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,73,133,5,17
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,1,423,99,92,21
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,2,249,186,50,35
PanGyn,"('Protein', 'mRNA', 'MicroRNA', 'Methylation')",PFI,3,153,218,29,42
